         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.075    0.075 frame.py:1(<module>)
     4000    0.006    0.000    0.071    0.000 artist.py:1375(get_valid_values)
        1    0.000    0.000    0.070    0.070 __init__.py:567(_build_master)
        3    0.000    0.000    0.070    0.023 __init__.py:553(__init__)
        1    0.000    0.000    0.069    0.069 widgets.py:1(<module>)
        1    0.000    0.000    0.067    0.067 axes3d.py:1(<module>)
        1    0.000    0.000    0.067    0.067 patches.py:1(<module>)
     1341    0.001    0.000    0.065    0.000 __init__.py:2218(_handle_ns)
      350    0.001    0.000    0.065    0.000 __init__.py:2323(fixup_namespace_packages)
        7    0.000    0.000    0.064    0.009 api.py:1(<module>)
     8609    0.024    0.000    0.063    0.000 inspect.py:2152(_signature_from_function)
     1400    0.002    0.000    0.063    0.000 __init__.py:2151(distributions_from_metadata)
        2    0.000    0.000    0.062    0.031 overrides.py:1(<module>)
    10004    0.005    0.000    0.062    0.000 re.py:289(_compile)
        1    0.000    0.000    0.060    0.060 multiarray.py:1(<module>)
      350    0.001    0.000    0.056    0.000 metadata.py:526(read_text)
        1    0.000    0.000    0.055    0.055 colors.py:1(<module>)
        8    0.000    0.000    0.054    0.007 linear.py:1(<module>)
      301    0.001    0.000    0.054    0.000 sre_compile.py:783(compile)
      350    0.000    0.000    0.054    0.000 pathlib.py:1262(read_text)
        1    0.000    0.000    0.054    0.054 generic.py:2(<module>)
      896    0.049    0.000    0.049    0.000 {built-in method posix.listdir}
     1733    0.000    0.000    0.044    0.000 re.py:250(compile)
        7    0.000    0.000    0.044    0.006 base.py:1(<module>)
      485    0.006    0.000    0.044    0.000 {built-in method io.open}
        2    0.000    0.000    0.044    0.022 __init__.py:25(<module>)
        2    0.000    0.000    0.043    0.022 _base.py:1(<module>)
        1    0.000    0.000    0.043    0.043 hub.py:1(<module>)
       10    0.000    0.000    0.042    0.004 __init__.py:51(create_module)
       10    0.000    0.000    0.042    0.004 __init__.py:29(load_module)
       12    0.000    0.000    0.041    0.003 __init__.py:2030(_by_version_descending)
      350    0.000    0.000    0.039    0.000 pathlib.py:1246(open)
        1    0.000    0.000    0.039    0.039 dist.py:2(<module>)
        1    0.000    0.000    0.039    0.039 quantize.py:2(<module>)
        1    0.000    0.000    0.039    0.039 index_tricks.py:1(<module>)
      350    0.000    0.000    0.037    0.000 pathlib.py:1118(_opener)
      350    0.037    0.000    0.037    0.000 {built-in method posix.open}
      301    0.001    0.000    0.036    0.000 sre_parse.py:944(parse)
        1    0.000    0.000    0.036    0.036 art3d.py:5(<module>)
        1    0.000    0.000    0.036    0.036 Image.py:27(<module>)
        1    0.000    0.000    0.036    0.036 defmatrix.py:1(<module>)
        1    0.000    0.000    0.035    0.035 requirements.py:5(<module>)
  814/301    0.001    0.000    0.035    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.034    0.034 linalg.py:1(<module>)
        1    0.000    0.000    0.034    0.034 _jit_internal.py:1(<module>)
 1152/315    0.016    0.000    0.034    0.000 sre_parse.py:494(_parse)
      127    0.000    0.000    0.033    0.000 docstring.py:36(__call__)
        1    0.000    0.000    0.033    0.033 quantization_mappings.py:1(<module>)
  115/105    0.000    0.000    0.033    0.000 docstring.py:83(__call__)
        1    0.000    0.000    0.033    0.033 geo.py:1(<module>)
       13    0.000    0.000    0.032    0.002 docstring.py:55(__missing__)
        1    0.000    0.000    0.031    0.031 legend.py:1(<module>)
        1    0.000    0.000    0.031    0.031 cm.py:1(<module>)
     5809    0.011    0.000    0.029    0.000 version.py:261(__init__)
        4    0.000    0.000    0.028    0.007 core.py:1(<module>)
      700    0.001    0.000    0.027    0.000 __init__.py:2597(from_location)
      350    0.001    0.000    0.027    0.000 metadata.py:113(_from_text)
        1    0.000    0.000    0.026    0.026 offsetbox.py:1(<module>)
        2    0.000    0.000    0.026    0.013 _optional.py:87(import_optional_dependency)
3696/3510    0.002    0.000    0.026    0.000 typing.py:271(inner)
      618    0.001    0.000    0.026    0.000 __init__.py:2784(_get_metadata)
      700    0.000    0.000    0.026    0.000 __init__.py:2054(_by_version)
      700    0.000    0.000    0.024    0.000 __init__.py:2060(<listcomp>)
    23428    0.014    0.000    0.024    0.000 inspect.py:2498(__init__)
     2868    0.001    0.000    0.024    0.000 __init__.py:2045(try_parse)
       95    0.019    0.000    0.023    0.000 _ops.py:188(__getattr__)
        1    0.000    0.000    0.023    0.023 arraylike.py:1(<module>)
        1    0.000    0.000    0.023    0.023 polar.py:1(<module>)
      800    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
     5187    0.002    0.000    0.022    0.000 re.py:198(search)
    23426    0.008    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1396    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.021    0.021 auto.py:1(<module>)
        1    0.000    0.000    0.021    0.021 fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.021    0.021 image.py:1(<module>)
      183    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
      430    0.002    0.000    0.020    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.020    0.020 asyncio.py:1(<module>)
        1    0.000    0.000    0.020    0.020 axis.py:1(<module>)
        1    0.000    0.000    0.020    0.020 lines.py:1(<module>)
   198976    0.020    0.000    0.020    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.019    0.010 interval.py:1(<module>)
531509/529249    0.019    0.000    0.019    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.019    0.019 array_ops.py:1(<module>)
       30    0.006    0.000    0.019    0.001 __init__.py:759(_rc_params_in_file)
      350    0.002    0.000    0.018    0.000 configparser.py:601(__init__)
        1    0.000    0.000    0.018    0.018 _add_newdocs.py:1(<module>)
      313    0.000    0.000    0.018    0.000 function_base.py:475(add_newdoc)
        1    0.005    0.005    0.018    0.018 {built-in method torch._C._initExtension}
        1    0.000    0.000    0.018    0.018 boolean.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _pocketfft.py:1(<module>)
        1    0.004    0.004    0.017    0.017 py3k.py:1(<module>)
        1    0.000    0.000    0.017    0.017 masked.py:1(<module>)
        1    0.000    0.000    0.017    0.017 describe.py:1(<module>)
   297784    0.017    0.000    0.017    0.000 {method 'lstrip' of 'str' objects}
     1277    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
     8830    0.009    0.000    0.017    0.000 inspect.py:2781(__init__)
      301    0.000    0.000    0.017    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.016    0.016 axis3d.py:5(<module>)
219184/218844    0.013    0.000    0.016    0.000 {built-in method builtins.isinstance}
       26    0.000    0.000    0.016    0.001 _jit_internal.py:745(_check_overload_body)
       26    0.000    0.000    0.016    0.001 _sources.py:95(parse_def)
        2    0.000    0.000    0.016    0.008 indexing.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _axes.py:46(Axes)
    97224    0.015    0.000    0.016    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.016    0.016 nanops.py:1(<module>)
    15555    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
      112    0.015    0.000    0.015    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.015    0.008 core.py:193(read_style_directory)
   161302    0.015    0.000    0.015    0.000 {method 'startswith' of 'str' objects}
67099/67059    0.013    0.000    0.015    0.000 {method 'join' of 'str' objects}
