         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 cycler.py:415(cycler)
        1    0.000    0.000    0.000    0.000 helpers.py:14(delimited_list)
        1    0.000    0.000    0.000    0.000 quant_type.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        2    0.000    0.000    0.000    0.000 _manylinux.py:15(_ELFFileHeader)
       40    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
       82    0.000    0.000    0.000    0.000 functools.py:817(dispatch)
       67    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
      578    0.000    0.000    0.000    0.000 typing.py:565(__eq__)
        1    0.000    0.000    0.000    0.000 _mixins.py:95(NDArrayBackedExtensionArray)
        1    0.000    0.000    0.000    0.000 tz.py:1590(nocache)
        1    0.000    0.000    0.000    0.000 _ops.py:1(<module>)
      404    0.000    0.000    0.000    0.000 __init__.py:925(__init__)
        6    0.000    0.000    0.000    0.000 colors.py:1479(make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 string_arrow.py:97(ArrowStringArray)
        1    0.000    0.000    0.000    0.000 patches.py:4505(ConnectionPatch)
       39    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       24    0.000    0.000    0.000    0.000 dviread.py:159(decorate)
        9    0.000    0.000    0.000    0.000 functools.py:799(singledispatch)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1244(<dictcomp>)
       38    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        1    0.000    0.000    0.000    0.000 isoparser.py:2(<module>)
       36    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
       56    0.000    0.000    0.000    0.000 _decorators.py:444(__call__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fuser_method_mappings.py:1(<module>)
       14    0.000    0.000    0.000    0.000 core.py:8101(__init__)
        1    0.000    0.000    0.000    0.000 scale.py:617(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 legend.py:284(Legend)
      156    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
     1277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
      866    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:10(partialclass)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 object_array.py:1(<module>)
        3    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:2079(SpanSelector)
        1    0.000    0.000    0.000    0.000 lines.py:198(Line2D)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3016(DistInfoDistribution)
        2    0.000    0.000    0.000    0.000 streams.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:551(gen_candidates)
     12/2    0.000    0.000    0.000    0.000 core.py:1503(makeOptionalList)
        2    0.000    0.000    0.000    0.000 textwrap.py:381(fill)
        1    0.000    0.000    0.000    0.000 noise.py:1(<module>)
     1982    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      131    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
        1    0.000    0.000    0.000    0.000 __init__.py:895(<dictcomp>)
        1    0.000    0.000    0.000    0.000 managers.py:1691(SingleBlockManager)
       11    0.000    0.000    0.000    0.000 nanops.py:82(__call__)
       38    0.000    0.000    0.000    0.000 core.py:2981(_generateDefaultName)
       15    0.000    0.000    0.000    0.000 typing.py:783(copy_with)
       16    0.000    0.000    0.000    0.000 cycler.py:474(_cycler)
       14    0.000    0.000    0.000    0.000 core.py:8106(getdoc)
        1    0.000    0.000    0.000    0.000 upsampling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pin_memory.py:1(<module>)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 vec_transpose.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 poisson.py:1(<module>)
      464    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 pathlib.py:486(_make_selector)
       40    0.000    0.000    0.000    0.000 colors.py:1040(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:356(fill)
        2    0.000    0.000    0.000    0.000 traceback.py:388(format)
      103    0.000    0.000    0.000    0.000 registration.py:47(__init__)
       57    0.000    0.000    0.000    0.000 contextlib.py:261(helper)
        1    0.000    0.000    0.000    0.000 patches.py:3859(FancyBboxPatch)
       20    0.000    0.000    0.000    0.000 colors.py:1080(reversed)
        1    0.000    0.000    0.000    0.000 subproc_vec_env.py:1(<module>)
      622    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      171    0.000    0.000    0.000    0.000 inspect.py:727(getmodule)
       18    0.000    0.000    0.000    0.000 base.py:465(find)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      511    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 masked.py:124(BaseMaskedArray)
  416/409    0.000    0.000    0.000    0.000 results.py:159(__init__)
      640    0.000    0.000    0.000    0.000 ast.py:244(iter_fields)
        2    0.000    0.000    0.000    0.000 textwrap.py:342(wrap)
       44    0.000    0.000    0.000    0.000 inspect.py:183(isgeneratorfunction)
        1    0.000    0.000    0.000    0.000 pathlib.py:552(__init__)
        2    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
       98    0.000    0.000    0.000    0.000 typing.py:993(<genexpr>)
       32    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        3    0.000    0.000    0.000    0.000 expr.py:283(disallowed)
       23    0.000    0.000    0.000    0.000 overrides.py:200(decorator)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      358    0.000    0.000    0.000    0.000 contextlib.py:382(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:712(copy)
      203    0.000    0.000    0.000    0.000 typing_extensions.py:87(_check_generic)
      120    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 pathlib.py:324(compile_pattern)
       14    0.000    0.000    0.000    0.000 __init__.py:1986(find_distributions)
        1    0.000    0.000    0.000    0.000 _decorator.py:1(<module>)
      126    0.000    0.000    0.000    0.000 colors.py:858(__init__)
        1    0.000    0.000    0.000    0.000 lr_scheduler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:713(<dictcomp>)
        1    0.000    0.000    0.000    0.000 base_parser.py:74(ParserBase)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 nccl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        1    0.000    0.000    0.000    0.000 timedeltas.py:97(TimedeltaArray)
      750    0.000    0.000    0.000    0.000 pathlib.py:1089(_init)
        1    0.000    0.000    0.000    0.000 goal_selection_strategy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:6(<module>)
        1    0.000    0.000    0.000    0.000 her_replay_buffer.py:41(HerReplayBuffer)
        1    0.000    0.000    0.000    0.000 dummy_vec_env.py:12(DummyVecEnv)
        1    0.000    0.000    0.000    0.000 parameter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parametrize.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
      618    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
        1    0.000    0.000    0.000    0.000 container.py:549(ParameterDict)
        2    0.000    0.000    0.000    0.000 testing.py:3(<module>)
       21    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
       17    0.000    0.000    0.000    0.000 core.py:4758(__init__)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:494(get_configdir)
        1    0.000    0.000    0.000    0.000 colorbar.py:289(Colorbar)
       30    0.000    0.000    0.000    0.000 utils.py:102(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 one_hot_categorical.py:1(<module>)
        2    0.000    0.000    0.000    0.000 helpers.py:366(original_text_for)
        1    0.000    0.000    0.000    0.000 _subplots.py:7(SubplotBase)
      231    0.000    0.000    0.000    0.000 rcsetup.py:140(validate_bool)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 graphs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _adapters.py:8(Message)
        1    0.000    0.000    0.000    0.000 widgets.py:3355(PolygonSelector)
       16    0.000    0.000    0.000    0.000 cycler.py:206(_from_iter)
        1    0.000    0.000    0.000    0.000 dtypes.py:801(PeriodDtype)
        1    0.000    0.000    0.000    0.000 _osx_support.py:331(_check_for_unavailable_sdk)
      163    0.000    0.000    0.000    0.000 _decorators.py:478(__init__)
        1    0.000    0.000    0.000    0.000 container.py:27(Sequential)
        1    0.000    0.000    0.000    0.000 forward_ad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multivariate_normal.py:1(<module>)
       34    0.000    0.000    0.000    0.000 numeric.py:149(ones)
        1    0.000    0.000    0.000    0.000 messages.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adaptive.py:3(<module>)
       11    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
      175    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      318    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 plistlib.py:856(load)
        1    0.000    0.000    0.000    0.000 stata.py:807(StataMissingValue)
       44    0.000    0.000    0.000    0.000 inspect.py:172(_has_code_flag)
        1    0.000    0.000    0.000    0.000 policies.py:37(BaseModel)
        1    0.000    0.000    0.000    0.000 version.py:289(LooseVersion)
        8    0.000    0.000    0.000    0.000 sysconfig.py:154(_subst_vars)
        3    0.000    0.000    0.000    0.000 _common.py:1(<module>)
       12    0.000    0.000    0.000    0.000 core.py:1685(suppress)
        2    0.000    0.000    0.000    0.000 zipp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binomial.py:12(Binomial)
       26    0.000    0.000    0.000    0.000 deprecation.py:368(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:512(_get_data_path)
        2    0.000    0.000    0.000    0.000 _osx_support.py:500(get_platform_osx)
        1    0.000    0.000    0.000    0.000 off_policy_algorithm.py:24(OffPolicyAlgorithm)
        1    0.000    0.000    0.000    0.000 _fuser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dirichlet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 iter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:75(PeriodIndex)
        1    0.000    0.000    0.000    0.000 options.py:42(TensorPipeRpcBackendOptions)
        1    0.000    0.000    0.000    0.000 join.py:111(Join)
        1    0.000    0.000    0.000    0.000 filelister.py:1(<module>)
       61    0.000    0.000    0.000    0.000 functools.py:843(register)
       38    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 flatten.py:1(<module>)
        1    0.000    0.000    0.000    0.000 doc.py:1(<module>)
       31    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
      186    0.000    0.000    0.000    0.000 __init__.py:2572(is_version_line)
        1    0.000    0.000    0.000    0.000 _trace.py:539(ignore_lib_warnings)
       36    0.000    0.000    0.000    0.000 constraints.py:170(__init__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:386(_populate)
        1    0.000    0.000    0.000    0.000 backend_tools.py:895(ToolHelpBase)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
      338    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 transform_observation.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:407(boolean_dispatch)
        1    0.000    0.000    0.000    0.000 vec_frame_stack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ir_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:841(Window)
       15    0.000    0.000    0.000    0.000 policies.py:921(register_policy)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
        1    0.000    0.000    0.000    0.000 td3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 monitor.py:158(ResultsWriter)
        1    0.000    0.000    0.000    0.000 mathtext.py:384(MathTextParser)
        2    0.000    0.000    0.000    0.000 graph.py:1(<module>)
        3    0.000    0.000    0.000    0.000 missing.py:1(<module>)
      168    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 sparse.py:1(<module>)
       36    0.000    0.000    0.000    0.000 colors.py:272(<genexpr>)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
      165    0.000    0.000    0.000    0.000 doc.py:9(create_section_header)
       30    0.000    0.000    0.000    0.000 locale.py:653(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 base.py:106(ExtensionArray)
       88    0.000    0.000    0.000    0.000 unicode.py:17(<genexpr>)
       27    0.000    0.000    0.000    0.000 _deprecated.py:26(outer_wrapper)
       11    0.000    0.000    0.000    0.000 _tensor.py:21(_handle_torch_function_and_wrap_type_error_to_not_implemented)
      780    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x137c74550}
        1    0.000    0.000    0.000    0.000 rendezvous.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vec_transpose.py:11(VecTransposeImage)
      304    0.000    0.000    0.000    0.000 rcsetup.py:790(_convert_validator_spec)
       23    0.000    0.000    0.000    0.000 deprecation.py:144(finalize)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 floating.py:1(<module>)
       48    0.000    0.000    0.000    0.000 inspect.py:2564(replace)
        1    0.000    0.000    0.000    0.000 collate.py:1(<module>)
      601    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        1    0.000    0.000    0.000    0.000 plistlib.py:171(parse)
        2    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
       17    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        5    0.000    0.000    0.000    0.000 typing.py:358(__getitem__)
       57    0.000    0.000    0.000    0.000 contextlib.py:86(__init__)
      762    0.000    0.000    0.000    0.000 version.py:321(epoch)
        1    0.000    0.000    0.000    0.000 discrete.py:1(<module>)
        1    0.000    0.000    0.000    0.000 package_exporter.py:155(PackageExporter)
        1    0.000    0.000    0.000    0.000 utils.py:119(_init_num_threads)
        1    0.000    0.000    0.000    0.000 protocol.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:770(_hash_add)
        1    0.000    0.000    0.000    0.000 preprocessing.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:193(caching_module_getattr)
       13    0.000    0.000    0.000    0.000 core.py:4879(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1910(has_metadata)
       12    0.000    0.000    0.000    0.000 posixpath.py:373(abspath)
      209    0.000    0.000    0.000    0.000 __init__.py:526(_nonblank)
        1    0.000    0.000    0.000    0.000 container.py:152(ModuleList)
       25    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
       67    0.000    0.000    0.000    0.000 enum.py:81(__init__)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1434(is_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:1855(_make_bool_reduction_prim)
        1    0.000    0.000    0.000    0.000 offsetbox.py:690(TextArea)
        1    0.000    0.000    0.000    0.000 fileopener.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bdist.py:1(<module>)
     1246    0.000    0.000    0.000    0.000 _builtins.py:124(_is_special_functional_bound_op)
        2    0.000    0.000    0.000    0.000 _decorators.py:321(decorate)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
      943    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      128    0.000    0.000    0.000    0.000 core.py:1711(set_whitespace_chars)
       11    0.000    0.000    0.000    0.000 typing.py:1192(__init_subclass__)
        4    0.000    0.000    0.000    0.000 _script.py:266(__init__)
       20    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
        3    0.000    0.000    0.000    0.000 dataclasses.py:589(_hash_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1696(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 categorical.py:252(Categorical)
       59    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
        1    0.000    0.000    0.000    0.000 continuous_bernoulli.py:1(<module>)
      166    0.000    0.000    0.000    0.000 colors.py:565(__init__)
       62    0.000    0.000    0.000    0.000 accessor.py:78(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 tz.py:458(__init__)
        1    0.000    0.000    0.000    0.000 _psosx.py:356(Process)
        1    0.000    0.000    0.000    0.000 decoder.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:107(PeriodArray)
        1    0.000    0.000    0.000    0.000 _comparison.py:271(Pair)
        1    0.000    0.000    0.000    0.000 base_vec_env.py:47(VecEnv)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
     1178    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stacked_observations.py:147(StackedDictObservations)
        1    0.000    0.000    0.000    0.000 datetimelike.py:375(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 linear.py:7(Linear)
        1    0.000    0.000    0.000    0.000 core.py:450(DebugActions)
       87    0.000    0.000    0.000    0.000 {built-in method torch._C._get_schema}
        1    0.000    0.000    0.000    0.000 pytables.py:4735(AppendableMultiFrameTable)
        5    0.000    0.000    0.000    0.000 typing.py:481(Literal)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 von_mises.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lazy.py:52(LazyModuleMixin)
       30    0.000    0.000    0.000    0.000 functools.py:852(<lambda>)
        1    0.000    0.000    0.000    0.000 instancenorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       32    0.000    0.000    0.000    0.000 colors.py:369(<setcomp>)
      762    0.000    0.000    0.000    0.000 version.py:326(release)
        1    0.000    0.000    0.000    0.000 _mathtext.py:72(Fonts)
        1    0.000    0.000    0.000    0.000 wishart.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_cachedir)
       16    0.000    0.000    0.000    0.000 weakref.py:428(__setitem__)
        4    0.000    0.000    0.000    0.000 enum.py:928(_missing_)
      762    0.000    0.000    0.000    0.000 version.py:331(pre)
      766    0.000    0.000    0.000    0.000 version.py:336(post)
      432    0.000    0.000    0.000    0.000 colors.py:226(<genexpr>)
        2    0.000    0.000    0.000    0.000 dropout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decorator.py:63(non_deterministic)
      392    0.000    0.000    0.000    0.000 core.py:3616(<genexpr>)
        1    0.000    0.000    0.000    0.000 mathtext.py:190(MathtextBackendPs)
       14    0.000    0.000    0.000    0.000 constraints.py:175(__call__)
      146    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        1    0.000    0.000    0.000    0.000 _importlib.py:28(<listcomp>)
        2    0.000    0.000    0.000    0.000 specifiers.py:620(SpecifierSet)
        1    0.000    0.000    0.000    0.000 inspect.py:1129(getfullargspec)
        2    0.000    0.000    0.000    0.000 unicode.py:75(nums)
        1    0.000    0.000    0.000    0.000 profiler.py:30(_KinetoProfile)
        1    0.000    0.000    0.000    0.000 core.py:452(DebugActions)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        2    0.000    0.000    0.000    0.000 re.py:233(findall)
        8    0.000    0.000    0.000    0.000 core.py:1663(__call__)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6442(__new__)
        1    0.000    0.000    0.000    0.000 {method 'ParseFile' of 'pyexpat.xmlparser' objects}
        2    0.000    0.000    0.000    0.000 pathlib.py:1318(mkdir)
        4    0.000    0.000    0.000    0.000 enum.py:938(_create_pseudo_member_)
       14    0.000    0.000    0.000    0.000 library.py:88(wrap)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 configparser.py:522(LegacyInterpolation)
        1    0.000    0.000    0.000    0.000 art3d.py:283(Line3DCollection)
        5    0.000    0.000    0.000    0.000 core.py:1392(__radd__)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
       32    0.000    0.000    0.000    0.000 dataclasses.py:612(_is_type)
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
        2    0.000    0.000    0.000    0.000 testing.py:15(pyparsing_test)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1653(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:581(_ReducedHCT_Element)
       67    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
        1    0.000    0.000    0.000    0.000 distance.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1227(stat)
      306    0.000    0.000    0.000    0.000 __init__.py:688(__iter__)
        3    0.000    0.000    0.000    0.000 core.py:3729(_setResultsName)
        1    0.000    0.000    0.000    0.000 streamreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:1307(rruleset)
        1    0.000    0.000    0.000    0.000 distributions.py:15(Distribution)
      479    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 widgets.py:1109(TextBox)
        3    0.000    0.000    0.000    0.000 pathlib.py:1138(home)
        1    0.000    0.000    0.000    0.000 helpers.py:1058(<listcomp>)
        1    0.000    0.000    0.000    0.000 _ir_utils.py:4(_InsertPoint)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 category.py:57(CategoricalIndex)
      406    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       32    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
      698    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 profiler.py:269(profile)
       33    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 datetimelike.py:77(DatetimeIndexOpsMixin)
        1    0.000    0.000    0.000    0.000 flatten.py:53(Unflatten)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
      762    0.000    0.000    0.000    0.000 version.py:340(dev)
        1    0.000    0.000    0.000    0.000 container.py:273(ModuleDict)
        1    0.000    0.000    0.000    0.000 grad_scaler.py:41(GradScaler)
       11    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
       20    0.000    0.000    0.000    0.000 core.py:959(reset_cache)
        1    0.000    0.000    0.000    0.000 find_file_dependencies.py:1(<module>)
        5    0.000    0.000    0.000    0.000 core.py:561(_setResultsName)
        1    0.000    0.000    0.000    0.000 upsampling.py:9(Upsample)
       38    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 conv_relu.py:2(<module>)
     1396    0.000    0.000    0.000    0.000 __init__.py:2128(__bool__)
     1823    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
    29/28    0.000    0.000    0.000    0.000 core.py:4430(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 on_policy_algorithm.py:17(OnPolicyAlgorithm)
        1    0.000    0.000    0.000    0.000 torch_layers.py:136(MlpExtractor)
       87    0.000    0.000    0.000    0.000 kl.py:71(decorator)
       72    0.000    0.000    0.000    0.000 util.py:108(get)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
       98    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 map.py:1(<module>)
       35    0.000    0.000    0.000    0.000 observer.py:43(_with_args)
     1843    0.000    0.000    0.000    0.000 __init__.py:759(<lambda>)
      143    0.000    0.000    0.000    0.000 exceptions.py:24(__init__)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
       82    0.000    0.000    0.000    0.000 weakref.py:415(__getitem__)
        1    0.000    0.000    0.000    0.000 helpers.py:1061(<listcomp>)
        1    0.000    0.000    0.000    0.000 _recursive.py:332(ConcreteTypeStore)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
      139    0.000    0.000    0.000    0.000 core.py:757(preParse)
      762    0.000    0.000    0.000    0.000 version.py:344(local)
       87    0.000    0.000    0.000    0.000 kl.py:40(register_kl)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6405(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:2079(<listcomp>)
        1    0.000    0.000    0.000    0.000 combinatorics.py:17(SamplerIterDataPipe)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:4739(__init__)
       54    0.000    0.000    0.000    0.000 expressions.py:79(ophelper)
        1    0.000    0.000    0.000    0.000 vec_frame_stack.py:10(VecFrameStack)
        1    0.000    0.000    0.000    0.000 utils.py:101(set_num_threads)
        1    0.000    0.000    0.000    0.000 core.py:226(reload_library)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       28    0.000    0.000    0.000    0.000 pathlib.py:866(stem)
       23    0.000    0.000    0.000    0.000 getlimits.py:647(__init__)
        1    0.000    0.000    0.000    0.000 configparser.py:448(ExtendedInterpolation)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _methods.py:54(_any)
       16    0.000    0.000    0.000    0.000 core.py:5716(<genexpr>)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grad_mode.py:1(<module>)
       32    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 groupby.py:564(BaseGroupBy)
